epoch, loss, acc, sen, spec, F1
1,0.7204417501177106,0.5,0.2857142857142857,0.6666666666666666,0.3333333333333333
2,0.7002369676317487,0.5446428571428571,0.2553191489361702,0.7538461538461538,0.32
3,0.6950328264917646,0.5357142857142857,0.2708333333333333,0.734375,0.33333333333333337
4,0.6966820018632072,0.5,0.2127659574468085,0.7076923076923077,0.2631578947368421
5,0.6820589985166278,0.5446428571428571,0.32,0.7258064516129032,0.38554216867469876
6,0.6702158961977277,0.5892857142857143,0.3404255319148936,0.7692307692307693,0.41025641025641024
7,0.6637383103370667,0.6071428571428571,0.44,0.7419354838709677,0.5
8,0.666870483330318,0.5892857142857143,0.40425531914893614,0.7230769230769231,0.4523809523809524
9,0.6553600175040108,0.6071428571428571,0.42857142857142855,0.746031746031746,0.4883720930232558
10,0.6525733045169285,0.6517857142857143,0.46808510638297873,0.7846153846153846,0.5301204819277109
11,0.6479275141443525,0.6517857142857143,0.5,0.7741935483870968,0.5617977528089888
12,0.6269681027957371,0.6875,0.5416666666666666,0.796875,0.5977011494252873
13,0.6363266365868705,0.6785714285714286,0.58,0.7580645161290323,0.6170212765957446
14,0.6231697286878314,0.7321428571428571,0.6122448979591837,0.8253968253968254,0.6666666666666666
15,0.6379589268139431,0.6696428571428571,0.5510204081632653,0.7619047619047619,0.5934065934065934
16,0.6284586787223816,0.6696428571428571,0.6382978723404256,0.6923076923076923,0.6185567010309279
17,0.6211493185588292,0.6964285714285714,0.6170212765957447,0.7538461538461538,0.6304347826086957
18,0.6128871440887451,0.7053571428571429,0.6458333333333334,0.75,0.6526315789473683
19,0.6257800545011248,0.6785714285714286,0.6122448979591837,0.7301587301587301,0.625
20,0.6159617985997882,0.6785714285714286,0.6086956521739131,0.7272727272727273,0.6086956521739131
21,0.5952051111630031,0.7053571428571429,0.6470588235294118,0.7540983606557377,0.6666666666666667
22,0.5757197397095817,0.7410714285714286,0.6938775510204082,0.7777777777777778,0.7010309278350516
23,0.588868933064597,0.6875,0.58,0.7741935483870968,0.6236559139784946
24,0.5855781946863446,0.75,0.7083333333333334,0.78125,0.7083333333333334
25,0.6014134883880615,0.6607142857142857,0.5918367346938775,0.7142857142857143,0.6041666666666666
26,0.5680143492562431,0.7232142857142857,0.6938775510204082,0.746031746031746,0.686868686868687
27,0.565712183713913,0.7410714285714286,0.7083333333333334,0.765625,0.7010309278350516
28,0.5560063932623182,0.7410714285714286,0.673469387755102,0.7936507936507936,0.6947368421052631
29,0.5563038246972221,0.7678571428571429,0.7708333333333334,0.765625,0.74
30,0.5467244514397213,0.75,0.7659574468085106,0.7384615384615385,0.72
31,0.5634980882917132,0.75,0.7021276595744681,0.7846153846153846,0.7021276595744681
32,0.5557341064725604,0.7321428571428571,0.6938775510204082,0.7619047619047619,0.6938775510204082
33,0.5514595423425946,0.7410714285714286,0.6862745098039216,0.7868852459016393,0.7070707070707071
34,0.5360296751771655,0.7857142857142857,0.7446808510638298,0.8153846153846154,0.7446808510638298
35,0.5146866823945727,0.8035714285714286,0.8297872340425532,0.7846153846153846,0.78
36,0.5324440768786839,0.7678571428571429,0.74,0.7903225806451613,0.74
37,0.5144136760916028,0.7946428571428571,0.7916666666666666,0.796875,0.7676767676767677
38,0.5294292185987745,0.7589285714285714,0.7254901960784313,0.7868852459016393,0.7326732673267328
39,0.5203412345477513,0.8035714285714286,0.7843137254901961,0.819672131147541,0.7843137254901961
40,0.5018979012966156,0.8214285714285714,0.8163265306122449,0.8253968253968254,0.8
41,0.4806915989943913,0.8214285714285714,0.8260869565217391,0.8181818181818182,0.7916666666666667
42,0.5253653015409198,0.7857142857142857,0.7708333333333334,0.796875,0.7551020408163266
43,0.4839078741414206,0.8035714285714286,0.78,0.8225806451612904,0.78
44,0.4879284543650491,0.8125,0.8,0.8225806451612904,0.792079207920792
45,0.4912925958633423,0.7946428571428571,0.7608695652173914,0.8181818181818182,0.7526881720430109
46,0.49029011385781424,0.7946428571428571,0.7843137254901961,0.8032786885245902,0.7766990291262137
47,0.47978901863098145,0.8035714285714286,0.7872340425531915,0.8153846153846154,0.7708333333333333
48,0.5235631040164402,0.7678571428571429,0.75,0.78125,0.7346938775510204
49,0.46848886353628977,0.8125,0.8269230769230769,0.8,0.8037383177570092
50,0.47151746494429453,0.8125,0.7916666666666666,0.828125,0.7835051546391752
51,0.45855625186647686,0.8214285714285714,0.8367346938775511,0.8095238095238095,0.803921568627451
52,0.4670383334159851,0.8125,0.8043478260869565,0.8181818181818182,0.7789473684210526
53,0.44935828873089384,0.8303571428571429,0.8333333333333334,0.828125,0.8080808080808081
54,0.4441339927060263,0.8482142857142857,0.86,0.8387096774193549,0.8349514563106797
55,0.44435488326208933,0.8125,0.7916666666666666,0.828125,0.7835051546391752
56,0.4573300651141575,0.8214285714285714,0.8431372549019608,0.8032786885245902,0.8113207547169811
57,0.44625445774623324,0.8660714285714286,0.9183673469387755,0.8253968253968254,0.8571428571428571
58,0.4607985530580793,0.8214285714285714,0.803921568627451,0.8360655737704918,0.8039215686274509
59,0.440520886863981,0.8392857142857143,0.8235294117647058,0.8524590163934426,0.8235294117647058
60,0.45525963391576496,0.8125,0.7647058823529411,0.8524590163934426,0.787878787878788
61,0.4360659675938742,0.8392857142857143,0.82,0.8548387096774194,0.82
62,0.4280534471784319,0.8482142857142857,0.82,0.8709677419354839,0.8282828282828283
63,0.42816875662122456,0.7946428571428571,0.7551020408163265,0.8253968253968254,0.7628865979381444
64,0.42996267335755484,0.8125,0.8085106382978723,0.8153846153846154,0.7835051546391754
65,0.4052690735885075,0.8660714285714286,0.8571428571428571,0.873015873015873,0.8484848484848485
66,0.41907256841659546,0.8482142857142857,0.82,0.8709677419354839,0.8282828282828283
67,0.42614262870379854,0.8125,0.74,0.8709677419354839,0.7789473684210526
68,0.39883924807821003,0.8660714285714286,0.84,0.8870967741935484,0.8484848484848485
69,0.387322940996715,0.8928571428571429,0.8695652173913043,0.9090909090909091,0.8695652173913043
70,0.4265069578375135,0.8125,0.8297872340425532,0.8,0.787878787878788
71,0.4009153630052294,0.8839285714285714,0.8333333333333334,0.921875,0.8602150537634408
72,0.39649262598582674,0.875,0.875,0.875,0.8571428571428572
73,0.39082080125808716,0.8392857142857143,0.8333333333333334,0.84375,0.816326530612245
74,0.3763713538646698,0.8839285714285714,0.8571428571428571,0.9047619047619048,0.8659793814432989
75,0.3837768776076181,0.875,0.8627450980392157,0.8852459016393442,0.8627450980392157
76,0.3868585058620998,0.8482142857142857,0.7916666666666666,0.890625,0.8172043010752689
77,0.36986597946711947,0.9017857142857143,0.88,0.9193548387096774,0.888888888888889
78,0.3714202174118587,0.8839285714285714,0.8571428571428571,0.9047619047619048,0.8659793814432989
79,0.3719267121383122,0.8303571428571429,0.8163265306122449,0.8412698412698413,0.8080808080808082
80,0.401748742376055,0.8660714285714286,0.8666666666666667,0.8656716417910447,0.8387096774193549
81,0.3824652135372162,0.8660714285714286,0.8333333333333334,0.890625,0.8421052631578947
82,0.3686062480722155,0.8660714285714286,0.8333333333333334,0.890625,0.8421052631578947
83,0.3964861397232328,0.875,0.8775510204081632,0.873015873015873,0.86
84,0.3569474369287491,0.8928571428571429,0.8627450980392157,0.9180327868852459,0.8799999999999999
85,0.38999572822025846,0.8839285714285714,0.84,0.9193548387096774,0.8659793814432989
